instance,0,v_num,time,1,v_num,time,2,v_num,time,3,v_num,time,4,v_num,time,5,v_num,time,6,v_num,time,7,v_num,time,8,v_num,time,9,v_num,time,best,average,average_time
 Range_100/ins_050_1.txt,1204.41,19,2.028,1204.41,19,0.541,1204.41,19,3.03,1204.41,19,0.453,1204.41,19,0.766,1204.41,19,3.703,1204.41,19,0.622,1204.41,19,1.148,1204.41,19,1.995,1204.41,19,0.642,1204.41,1204.41,1.49
 Range_100/ins_050_2.txt,1340.44,21,0.418,1340.44,21,0.184,1340.44,21,0.309,1340.44,21,0.2,1340.44,21,0.399,1340.44,21,0.196,1340.44,21,0.368,1340.44,21,1.499,1340.44,21,1.609,1340.44,21,0.337,1340.44,1340.44,0.55
 Range_100/ins_050_3.txt,1316.39,19,0.002,1316.39,19,0.002,1316.39,19,0.209,1316.39,19,0.002,1316.39,19,0.009,1316.39,19,0.518,1316.39,19,0.002,1316.39,19,0.065,1316.39,19,0.019,1316.39,19,0.002,1316.39,1316.39,0.08
 Range_100/ins_100_1.txt,1217.47,19,14.906,1217.47,19,36.046,1217.47,19,35.666,1217.47,19,31.368,1217.47,19,4.6,1217.47,19,16.307,1217.47,19,0.389,1217.47,19,7.101,1217.47,19,60.788,1217.47,19,5.356,1217.47,1217.47,21.25
 Range_100/ins_100_2.txt,1128.4,18,67.86,1128.4,18,789.791,1128.4,18,169.114,1128.4,18,222.287,1128.4,18,908.727,1128.4,18,989.417,1128.4,18,871.787,1128.4,18,171.865,1128.4,18,703.017,1128.4,18,469.511,1128.4,1128.4,536.34
 Range_100/ins_100_3.txt,1253.49,19,109.31,1252.99,20,511.251,1252.99,20,215.446,1252.99,20,716.793,1252.99,20,225.91,1253.49,19,8.128,1252.99,20,589.583,1252.99,20,69.119,1252.99,20,0.605,1252.99,20,12.022,1252.99,1253.09,245.82
 Range_100/ins_200_1.txt,1206.79,18,34.898,1206.79,18,325.229,1206.79,18,62.047,1206.79,18,77.792,1206.79,18,228.01,1206.79,18,28.59,1206.79,18,65.719,1206.79,18,28.745,1206.79,18,289.422,1206.79,18,144.163,1206.79,1206.79,128.46
 Range_100/ins_200_2.txt,1213.24,21,187.578,1213.24,21,217.181,1213.24,21,8.463,1213.24,21,99.898,1213.24,21,21.02,1213.24,21,44.501,1213.24,21,174.294,1213.24,21,79.201,1213.24,21,224.987,1213.24,21,59.926,1213.24,1213.24,111.7
 Range_100/ins_200_3.txt,1247.25,20,67.118,1247.25,20,35.202,1247.25,20,50.603,1247.25,20,97.202,1247.25,20,20.671,1247.25,20,14.418,1247.25,20,28.8,1248.49,21,84.082,1247.25,20,152.734,1247.25,20,160.986,1247.25,1247.37,71.18
 Range_100/ins_300_1.txt,1215.48,23,435.985,1215.48,23,225.651,1215.48,23,158.184,1215.48,23,325.421,1215.48,23,293.538,1215.48,23,170.078,1215.48,23,479.704,1215.48,23,346.026,1215.48,23,484.416,1225.64,21,104.249,1215.48,1216.5,302.33
 Range_100/ins_300_2.txt,1170.85,19,120.37,1170.85,19,204.075,1170.85,19,521.083,1170.85,19,484.561,1170.85,19,555.374,1170.85,19,435.915,1170.85,19,619.534,1170.85,19,180.982,1170.85,19,104.941,1170.85,19,280.38,1170.85,1170.85,350.72
 Range_100/ins_300_3.txt,1247.51,20,787.742,1247.51,20,93.366,1247.51,20,966.997,1247.51,20,177.83,1247.51,20,542.963,1247.51,20,742.794,1257.62,21,372.799,1247.51,20,804.475,1247.51,20,323.229,1257.62,21,238.395,1247.51,1249.53,505.06
